חותמת זמן,העדפה 1,העדפה 2,העדפה 3,העדפה 4,העדפה 5,שיבוץ סופי
08/06/2021 07:45:01,"ימ""ל 1014",חיל מודיעין,חיל האוויר,"ימ""ל 1044","ימ""ל 1079",חיל האוויר
08/06/2021 07:53:34,"ימ""ל 1014",חיל מודיעין,חיל האחזקה,חיל האוויר,,חיל האחזקה
08/06/2021 07:53:45,חיל מודיעין,חיל האוויר,אגת,חיל תקשוב,חיל האחזקה,חיל האחזקה
08/06/2021 07:54:38,חיל תקשוב,חיל מודיעין,"אכ""א",חיל האוויר,חיל הים,חיל תקשוב
08/06/2021 08:01:20,"מפא""ת",חיל מודיעין,חיל האוויר,רפאל,חיל תקשוב,חיל תקשוב
08/06/2021 08:04:48,חיל מודיעין,"מצו""ב",חיל תקשוב,חיל האוויר,"מפא""ת",חיל תקשוב
08/06/2021 08:05:11,"ימ""ל 1044","מפא""ת",חיל האוויר,"חט""ל",,חיל הים
08/06/2021 08:05:31,"ימ""ל 1044","ימ""ל 1079",חיל מודיעין,"ימ""ל 1014",חיל האוויר,"ימ""ל 1044"
08/06/2021 08:14:50,"ימ""ל 1044",חיל הים,"אכ""א",,,"אכ""א"
08/06/2021 08:15:36,"ימ""ל 1044","ימ""ל 1014",חיל מודיעין,חיל האחזקה,חיל האוויר,חיל הים
08/06/2021 08:21:32,רפאל,"ימ""ל 1079",חיל מודיעין,חיל האוויר,חיל האחזקה,רפאל
08/06/2021 08:41:09,חיל האחזקה,חיל הים,חיל האוויר,,,חיל האחזקה
08/06/2021 08:45:18,חיל מודיעין,חיל האוויר,"ימ""ל 1044",חיל תקשוב,חיל הים,חיל מודיעין
08/06/2021 08:48:00,"ימ""ל 1014",חיל מודיעין,"מצו""ב",חיל האוויר,חיל תקשוב,חיל האוויר
08/06/2021 08:49:09,חיל האוויר,חיל תקשוב,חיל הים,חיל מודיעין,,חיל תקשוב
08/06/2021 08:49:50,"ימ""ל 1044",חיל האוויר,חיל האחזקה,חיל מודיעין,חיל הים,חיל האחזקה
08/06/2021 08:55:41,חיל מודיעין,"ימ""ל 1014",חיל האחזקה,חיל הים,חיל הים,"ימ""ל 1014"
08/06/2021 08:56:24,"ימ""ל 1044",חיל מודיעין,"מצו""ב","מפא""ת",חיל הים,"ימ""ל 1044"
08/06/2021 08:59:27,חיל הים,חיל תקשוב,"ימ""ל 1014",חיל מודיעין,זהו,חיל תקשוב
08/06/2021 08:59:56,"ימ""ל 1079",חיל מודיעין,"ימ""ל 1014",חיל הים,חיל תקשוב,חיל תקשוב
08/06/2021 09:02:11,"ימ""ל 1024",רפאל,"ימ""ל 1014",חיל מודיעין,חיל תקשוב,חיל מודיעין
08/06/2021 09:10:01,חיל מודיעין,חיל האוויר,חיל תקשוב,,,חיל מודיעין
08/06/2021 09:14:35,חיל האחזקה,חיל תקשוב,"מצו""ב","ימ""ל 1014",חיל מודיעין,חיל הרפואה
08/06/2021 09:17:24,חיל מודיעין,חיל תקשוב,חיל האוויר,"ימ""ל 1014","ימ""ל 1044",חיל תקשוב
08/06/2021 09:24:12,חיל האוויר,חיל מודיעין,חיל תקשוב,"ימ""ל 1014","מצו""ב",חיל תקשוב
08/06/2021 09:29:52,"ימ""ל 1044","ימ""ל 1079",חיל הים,חיל האחזקה,חיל האוויר,חיל הים
08/06/2021 09:30:42,חיל תקשוב,חיל האוויר,חיל מודיעין,רפאל,חיל הים,חיל מודיעין
08/06/2021 09:31:54,חיל מודיעין,"ימ""ל 1014","ימ""ל 1044",רפאל,"מצו""ב",חיל מודיעין
08/06/2021 09:41:46,"ימ""ל 1044","ימ""ל 1079",חיל מודיעין,"ימ""ל 1014",חיל האוויר,חיל מודיעין
08/06/2021 09:44:01,חיל מודיעין,חיל האוויר,"מצו""ב",חיל תקשוב,חיל הים,חיל מודיעין
08/06/2021 09:56:52,"ימ""ל 1044","ימ""ל 1014",חיל מודיעין,"מצו""ב",חיל האוויר,חיל מודיעין
08/06/2021 10:06:30,חיל הים,,חיל האוויר,,,חיל הים
08/06/2021 10:12:54,חיל מודיעין,חיל תקשוב,חיל האוויר,חיל הים,,חיל תקשוב
08/06/2021 10:19:54,חיל מודיעין,חיל האוויר,חיל הים,חיל תקשוב,חיל האחזקה,חיל תקשוב
08/06/2021 10:21:31,"ימ""ל 1079",חיל מודיעין,חיל הלוגיסטיקה,חיל האוויר,לא זוכרת,חיל הלוגיסטיקה
08/06/2021 10:34:37,רפאל,חיל מודיעין,חיל הים,חיל האוויר,חיל תקשוב,חיל מודיעין
08/06/2021 10:54:00,חיל מודיעין,חיל הים,חיל תקשוב,חיל האוויר,,חיל מודיעין
08/06/2021 10:59:36,חיל מודיעין,"ימ""ל 1014","מצו""ב",,חיל האוויר,חיל מודיעין
08/06/2021 11:22:16,"ימ""ל 1044",חיל מודיעין,"מצו""ב",חיל האוויר,חיל הים,חיל מודיעין
08/06/2021 11:56:45,"ימ""ל 1044",רפאל,"מצו""ב",חיל מודיעין,חיל האוויר,"מצו""ב"
08/06/2021 12:03:04,חיל מודיעין,"מצו""ב",חיל האוויר,,,חיל האוויר
08/06/2021 12:03:08,חיל מודיעין,"ימ""ל 1044",חיל האוויר,"מצו""ב","ימ""ל 1079",חיל מודיעין
08/06/2021 12:07:13,חיל מודיעין,חיל האוויר,"ימ""ל 1044","מפא""ת",חיל האוויר,חיל מודיעין
08/06/2021 12:33:19,חיל מודיעין,חיל תקשוב,,חיל הים,חיל האוויר,חיל תקשוב
08/06/2021 13:03:59,מפא״ת,"מצו""ב",חיל מודיעין,חיל תקשוב,חיל האוויר,חיל האחזקה
08/06/2021 13:10:54,חיל מודיעין,חיל תקשוב,חיל האוויר,חיל האחזקה,חיל הים,חיל תקשוב
08/06/2021 14:46:21,חיל מודיעין,חיל האוויר,חיל הים,,,חיל האוויר
08/06/2021 15:05:29,חיל מודיעין,"מצו""ב",חיל תקשוב,חיל הים,"ימ""ל 1044","מצו""ב"
08/06/2021 15:06:06,חיל הים,"אכ""א",חיל תקשוב,חיל האוויר,חיל הלוגיסטיקה,חיל הים
08/06/2021 15:44:22,"אג""ת","מפא""ת",חיל האוויר,חיל הים,"מפא""ת",חיל הים
08/06/2021 16:06:16,חיל מודיעין,,,,,"מצו""ב"
08/06/2021 16:19:01,"ימ""ל 1014",חיל מודיעין,חיל האוויר,חיל תקשוב,"ימ""ל 1044",חיל מודיעין
08/06/2021 16:31:44,"ימ""ל 1014",חיל מודיעין,"מצו""ב",,,חיל מודיעין
08/06/2021 16:54:52,חיל תקשוב,חיל האוויר,חיל הים,חיל מודיעין,"ימ""ל 1014",חיל האוויר
08/06/2021 17:32:51,חיל מודיעין,"ימ""ל 1044","ימ""ל 1079","ימ""ל 1014",חיל האחזקה,חיל האוויר
08/06/2021 18:01:16,חיל תקשוב,מפא״ת,חיל מודיעין,חיל הים,חיל האחזקה,חיל תקשוב
08/06/2021 18:07:53,חיל הים,חיל תקשוב,"ימ""ל 1079","ימ""ל 1014",חיל האוויר,חיל הים
08/06/2021 18:10:14,"ימ""ל 1014",חיל מודיעין,חיל האוויר,חיל תקשוב,"ימ""ל 1044",חיל מודיעין
08/06/2021 18:21:32,"ימ""ל 1014",חיל מודיעין,חיל האוויר,"ימ""ל 1079",חיל תקשוב,חיל האוויר
08/06/2021 18:35:07,"ימ""ל 1014",חיל מודיעין,"מפא""ת",חיל תקשוב,חיל האוויר,חיל תקשוב
08/06/2021 18:46:29,חיל מודיעין,חיל האוויר,חיל הים,חיל מודיעין,חיל האחזקה,חיל האוויר
08/06/2021 19:53:05,"ימ""ל 1044",חיל מודיעין,חיל האוויר,חיל האחזקה,חיל הים,חיל מודיעין
08/06/2021 20:06:42,חיל הים,חיל האוויר,חיל תקשוב,,,חיל הים
08/06/2021 21:36:22,חיל האוויר,חיל הים,חיל האחזקה,,,חיל האחזקה
08/06/2021 21:37:07,"מצו""ב",חיל מודיעין,"מפא""ת",חיל תקשוב,חיל האוויר,חיל תקשוב
08/06/2021 22:22:46,חיל האוויר,חיל מודיעין,חיל האחזקה,"ימ""ל 1014",חיל הים,חיל האוויר
08/06/2021 22:44:14,חיל מודיעין,"ימ""ל 1014",חיל הים,חיל האוויר,חיל האחזקה,האחזקה
08/06/2021 22:46:54,חיל מודיעין,"מצו""ב",חיל תקשוב,חיל האוויר,חיל הים,חיל הים
08/06/2021 22:54:04,"ימ""ל 1079",חיל מודיעין,"מצו""ב",חיל תקשוב,חיל האוויר,חיל מודיעין
08/06/2021 23:00:50,חיל מודיעין,חיל תקשוב,חיל האוויר,,,חיל מודיעין
08/06/2021 23:15:22,"ימ""ל 1014",חיל האחזקה,"ימ""ל 1079",חיל הים,חיל האוויר,"ימ""ל 1014"
09/06/2021 00:43:36,"מצו""ב",חיל מודיעין,"ימ""ל 1044","ימ""ל 1014",חיל תקשוב,חיל האוויר
09/06/2021 00:44:43,"מצו""ב",חיל מודיעין,"ימ""ל 1014","ימ""ל 1044",חיל תקשוב,חיל מודיעין
09/06/2021 06:59:53,מפא״ת,חיל הים,חיל האוויר,חיל האחזקה,,חיל הים
09/06/2021 07:34:21,חיל האוויר,חיל הים,,,,חיל האוויר
09/06/2021 07:35:52,חיל מודיעין,חיל הים,חיל האוויר,חיל תקשוב,"ימ""ל 1044",חיל האוויר
09/06/2021 08:31:09,חיל מודיעין,"מצו""ב",חיל האוויר,חיל תקשוב,חיל הים,חיל האוויר
09/06/2021 08:38:15,"ימ""ל 1044",חיל מודיעין,"מצו""ב",חיל תקשוב,חיל האוויר,חיל תקשוב
09/06/2021 08:51:16,חיל מודיעין,"מפא""ת",,"אמ""ץ",חיל האוויר,"מפא""ת"
09/06/2021 08:58:22,,,חיל האוויר,חיל מודיעין,,חיל האוויר
09/06/2021 09:03:04,חיל מודיעין,חיל מודיעין,חיל האחזקה,חיל האוויר,,חיל מודיעין
09/06/2021 09:48:25,חיל הים,חיל האוויר,חיל האחזקה,"ימ""ל 1014",חיל מודיעין,חיל הים
09/06/2021 09:51:42,"ימ""ל 1014",חיל מודיעין,חיל האוויר,חיל הים,חיל האחזקה,חיל מודיעין
09/06/2021 11:39:43,"מפא""ת",חיל מודיעין,חיל הים,חיל האוויר,,חיל האחזקה
09/06/2021 17:46:07,"ימ""ל 1014","ימ""ל 1044",חיל האוויר,חיל הלוגיסטיקה,,חיל הלוגיסטיקה
10/06/2021 07:40:41,"ימ""ל 1014","ימ""ל 1044",רפאל,חיל מודיעין,חיל האוויר,"מצו""ב"
10/06/2021 11:39:56,"ימ""ל 1044","מצו""ב",חיל האוויר,חיל מודיעין,חיל תקשוב,חיל האוויר
10/06/2021 12:57:33,"ימ""ל 1079","ימ""ל 1014",חיל מודיעין,חיל האוויר,חיל הים,"ימ""ל 1014"
10/06/2021 20:10:28,רפאל,"ימ""ל 1044",חיל מודיעין,חיל האחזקה,חיל האוויר,חיל האוויר
11/06/2021 15:50:35,חיל מודיעין,חיל האוויר,חיל תקשוב,חיל הים,חיל האחזקה,חיל מודיעין
11/06/2021 18:08:02,חיל תקשוב,חיל מודיעין,חיל האוויר,חיל הים,חיל האחזקה,חיל תקשוב
11/06/2021 20:25:54,חיל האוויר,חיל מודיעין,"ימ""ל 1014","ימ""ל 1044","מצו""ב",חיל מודיעין
18/06/2021 14:58:46,חיל האוויר,חיל מודיעין,חיל תקשוב,"ימ""ל 1014","ימ""ל 1044",חיל תקשוב
18/06/2021 15:01:59,חיל מודיעין,"ימ""ל 1044",חיל האוויר,המכון הביולוגי,"מצו""ב",חיל האוויר
18/06/2021 15:03:36,חיל האוויר,חיל הים,חיל מודיעין,חיל תקשוב,,חיל האוויר
18/06/2021 15:04:17,חיל מודיעין,חיל האוויר,"מצו""ב",חיל תקשוב,חיל הים,חיל האוויר
18/06/2021 15:10:07,חיל מודיעין,"ימ""ל 1044",חיל הים,חיל האוויר,,חיל האוויר
18/06/2021 15:11:14,חיל מודיעין,חיל מודיעין,חיל האוויר,,,חיל האוויר
18/06/2021 15:11:53,חיל האוויר,חיל מודיעין,"מצו""ב",,,חיל האוויר
18/06/2021 15:14:02,חיל האוויר,חיל מודיעין,"ימ""ל 1014","ימ""ל 1079","ימ""ל 1044",חיל האוויר
18/06/2021 15:20:25,חיל האוויר,חיל תקשוב,חיל הים,,,חיל האוויר
18/06/2021 15:21:03,חיל האוויר,חיל תקשוב,חיל הים,"מצו""ב",,חיל האוויר
18/06/2021 15:29:26,חיל האוויר,,,,,חיל האוויר
18/06/2021 15:44:08,חיל מודיעין,חיל האוויר,חיל הים,"ימ""ל 1044","ימ""ל 1014",חיל האוויר
18/06/2021 15:48:55,חיל האוויר,חיל מודיעין,חיל תקשוב,חיל הים,"מצו""ב",חיל האוויר
18/06/2021 16:17:17,חיל האוויר,חיל מודיעין,"מצו""ב",חיל תקשוב,חיל הים,חיל האוויר
18/06/2021 16:37:33,חיל מודיעין,חיל האוויר,"ימ""ל 1079","ימ""ל 1044","ימ""ל 1014",חיל האוויר
19/06/2021 15:40:52,חיל מודיעין,"ימ""ל 1044",חיל האוויר,המכון הביולוגי,"מצו""ב",חיל האוויר
21/06/2021 07:47:00,חיל האוויר,חיל מודיעין,,,,חיל האוויר
